UFC 87: Seek and Destroy,Ultimate Fighting Championship,"August 9, 2008",Target Center,"Minneapolis, Minnesota","15,087","$2,252,000","625,000[1]"
UFC 88: Breakthrough,Ultimate Fighting Championship,"September 6, 2008",Philips Arena,"Atlanta, Georgia","14,736","$2,600,000","480,000 [1]"
UFC Fight Night: Diaz vs. Neer,Ultimate Fighting Championship,"September 17, 2008",Omaha Civic Auditorium,"Omaha, Nebraska","9,103","$700,000",nan
UFC 89: Bisping vs. Leben,Ultimate Fighting Championship,"October 18, 2008",National Indoor Arena,"Birmingham, United Kingdom","9,515[1]",nan,nan
UFC 90: Silva vs. Côté,Ultimate Fighting Championship,"October 25, 2008",Allstate Arena,"Rosemont, Illinois","15,359","$2,850,000","300,000[1]"
UFC 91: Couture vs. Lesnar,Ultimate Fighting Championship,"November 15, 2008",MGM Grand Garden Arena,"Las Vegas, Nevada","14,272 (10,845 paid)[1]","$4,815,675[2]","1,010,000[3]"
UFC: Fight for the Troops,Ultimate Fighting Championship,"December 10, 2008",Cumberland County Crown Coliseum,"Fayetteville, North Carolina","8,200",nan,nan
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Ultimate Fighting Championship,"December 13, 2008",Palms Casino Resort,"Las Vegas, Nevada","1,853","$405,000",nan
UFC 92: The Ultimate 2008,Ultimate Fighting Championship,"December 27, 2008",MGM Grand Garden Arena,"Las Vegas, Nevada","14,103 (9,701 paid)","$3,468,440","1,000,000 [1]"
UFC 93: Franklin vs. Henderson,Ultimate Fighting Championship,"January 17, 2009",The O2,"Dublin, Ireland","9,369","$1,300,000","350,000 [1]"
UFC 94: St-Pierre vs. Penn 2,Ultimate Fighting Championship,"January 31, 2009",MGM Grand Garden Arena[1],"Las Vegas, Nevada","14,885","$4,290,020","920,000[2]"
UFC Fight Night: Lauzon vs. Stephens,Ultimate Fighting Championship,"February 7, 2009",USF Sun Dome[1],"Tampa, Florida[1]","7,596","$428,000",nan
UFC 95: Sanchez vs. Stevenson,Ultimate Fighting Championship,"February 21, 2009",The O2 Arena,"London, United Kingdom","13,268[1]","$1,000,000 (approximate)[1]",nan
UFC 96: Jackson vs. Jardine,Ultimate Fighting Championship,"March 7, 2009",Nationwide Arena,"Columbus, Ohio","17,033","$1,800,000","350,000"
UFC Fight Night: Condit vs. Kampmann,Ultimate Fighting Championship,"April 1, 2009",Sommet Center,"Nashville, Tennessee","10,267[1]","$626,077[1]",nan
UFC 97: Redemption,Ultimate Fighting Championship,"April 18, 2009",Bell Centre,"Montreal, Quebec, Canada","21,451","$4,900,000","650,000[1]"
UFC 98: Evans vs. Machida,Ultimate Fighting Championship,"May 23, 2009",MGM Grand Garden Arena,"Las Vegas, Nevada","12,606","$3,257,350[1]","635,000[2]"
UFC 99: The Comeback,Ultimate Fighting Championship,"June 13, 2009",Lanxess Arena,"Cologne, Germany","12,854[1]","$1,300,000","360,000[2]"
The Ultimate Fighter: United States vs. United Kingdom Finale,Ultimate Fighting Championship,"June 20, 2009[4]",Pearl Concert Theater,"Las Vegas, Nevada","2,217[5]","$498,650[5]",nan
UFC 100,Ultimate Fighting Championship,"July 11, 2009",Mandalay Bay Events Center,"Las Vegas, Nevada","10,871 (9,764 paid)[1]","$5,101,740[1]","1,600,000[2]"
UFC 101: Declaration,Ultimate Fighting Championship,"August 8, 2009",Wachovia Center,"Philadelphia, Pennsylvania","17,411[1]","$3,550,000[1]","850,000[2]"
UFC 102: Couture vs. Nogueira,Ultimate Fighting Championship,"August 29, 2009",Rose Garden,"Portland, Oregon","16,088[1]","$1,920,000[1]","435,000[2]"
UFC Fight Night: Diaz vs. Guillard,Ultimate Fighting Championship,"September 16, 2009",Cox Convention Center,"Oklahoma City, Oklahoma","9,490[1]","$577,997[1]",nan
UFC 103: Franklin vs. Belfort,Ultimate Fighting Championship,"September 19, 2009",American Airlines Center,"Dallas, Texas","17,428[1]","$2,400,000[1]","375,000[2]"
UFC 104: Machida vs. Shogun,Ultimate Fighting Championship,"October 24, 2009",Staples Center,"Los Angeles, California","14,892[1]","$1,913,093[1]","500,000[2]"
UFC 105: Couture vs. Vera,Ultimate Fighting Championship,"November 14, 2009",Evening News Arena,"Manchester, United Kingdom","16,693[1]","$2,000,000[1]",nan
UFC 106: Ortiz vs. Griffin 2,Ultimate Fighting Championship,"November 21, 2009",Mandalay Bay Events Center,"Las Vegas, Nevada","10,529[1]","$3,003,250[1]","375,000[2]"
The Ultimate Fighter: Heavyweights Finale,Ultimate Fighting Championship,"December 5, 2009[7]",Palms Casino Resort,"Las Vegas, Nevada","1,791[8]","$503,600[8]",nan
