Date,Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
2009-08-29,UFC 102,Couture vs. Nogueira,Ultimate Fighting Championship,Couture,Nogueira,0,Rose Garden,"Portland, Oregon",16088.0,1920000.0,435000.0
2009-09-19,UFC 103,Franklin vs. Belfort,Ultimate Fighting Championship,Franklin,Belfort,0,American Airlines Center,"Dallas, Texas",17428.0,2400000.0,375000.0
2009-10-24,UFC 104,Machida vs. Shogun,Ultimate Fighting Championship,Machida,Shogun,0,Staples Center,"Los Angeles, California",14892.0,1913093.0,500000.0
2009-11-14,UFC 105,Couture vs. Vera,Ultimate Fighting Championship,Couture,Vera,0,Evening News Arena,"Manchester, United Kingdom",16693.0,2000000.0,
2009-11-21,UFC 106,Ortiz vs. Griffin 2,Ultimate Fighting Championship,Ortiz,Griffin,1,Mandalay Bay Events Center,"Las Vegas, Nevada",10529.0,3003250.0,375000.0
2009-12-12,UFC 107,Penn vs. Sanchez,Ultimate Fighting Championship,Penn,Sanchez,0,FedExForum,"Memphis, Tennessee",13896.0,1500000.0,620000.0
2010-01-02,UFC 108,Evans vs. Silva,Ultimate Fighting Championship,Evans,Silva,0,MGM Grand Garden Arena,"Las Vegas, Nevada",13529.0,1969670.0,300000.0
2010-02-06,UFC 109,Relentless,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10753.0,2273000.0,275000.0
2010-02-21,UFC 110,Nogueira vs. Velasquez,Ultimate Fighting Championship,Nogueira,Velasquez,0,Acer Arena,"Sydney, Australia",17431.0,2500000.0,240000.0
2010-03-27,UFC 111,St-Pierre vs. Hardy,Ultimate Fighting Championship,St-Pierre,Hardy,0,Prudential Center,"Newark, New Jersey",17000.0,4000000.0,770000.0
2010-04-10,UFC 112,Invincible,Ultimate Fighting Championship,,,0,"Concert Arena, Yas Island","Abu Dhabi, United Arab Emirates",11008.0,3500000.0,500000.0
2010-05-08,UFC 113,Machida vs. Shogun 2,Ultimate Fighting Championship,Machida,Shogun,1,Bell Centre,"Montreal, Quebec, Canada",17647.0,3270000.0,520000.0
2010-05-29,UFC 114,Rampage vs. Evans,Ultimate Fighting Championship,Rampage,Evans,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14996.0,3895000.0,1050000.0
2010-06-12,UFC 115,Liddell vs. Franklin,Ultimate Fighting Championship,Liddell,Franklin,0,General Motors Place,"Vancouver, British Columbia, Canada",17669.0,4221787.0,520000.0
2010-07-03,UFC 116,Lesnar vs. Carwin,Ultimate Fighting Championship,Lesnar,Carwin,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12740.0,2053990.0,1160000.0
2010-08-07,UFC 117,Silva vs. Sonnen,Ultimate Fighting Championship,Silva,Sonnen,0,Oracle Arena,"Oakland, California",12971.0,1560000.0,600000.0
2010-08-28,UFC 118,Edgar vs. Penn 2,Ultimate Fighting Championship,Edgar,Penn,1,TD Garden,"Boston, Massachusetts",14168.0,2800000.0,570000.0
2010-09-25,UFC 119,Mir vs. Cro Cop,Ultimate Fighting Championship,Mir,Cro Cop,0,Conseco Fieldhouse,"Indianapolis, Indiana",15811.0,1600000.0,295000.0
2010-10-16,UFC 120,Bisping vs. Akiyama,Ultimate Fighting Championship,Bisping,Akiyama,0,O2 Arena,"London, United Kingdom",17133.0,2560000.0,
2010-10-23,UFC 121,Lesnar vs. Velasquez,Ultimate Fighting Championship,Lesnar,Velasquez,0,Honda Center,"Anaheim, California",14856.0,2237000.0,1050000.0
2010-11-13,UFC 122,Marquardt vs. Okami,Ultimate Fighting Championship,Marquardt,Okami,0,König Pilsener Arena,"Oberhausen, Germany",8421.0,600000.0,
2010-11-20,UFC 123,Rampage vs. Machida,Ultimate Fighting Championship,Rampage,Machida,0,The Palace of Auburn Hills,"Auburn Hills, Michigan",16404.0,2100000.0,500000.0
2010-12-11,UFC 124,St-Pierre vs. Koscheck 2,Ultimate Fighting Championship,St-Pierre,Koscheck,1,Bell Centre,"Montreal, Quebec, Canada",23152.0,4600000.0,800000.0
2011-01-01,UFC 125,Resolution,Ultimate Fighting Championship,,,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12874.0,2174780.0,270000.0
2011-02-05,UFC 126,Silva vs. Belfort,Ultimate Fighting Championship,Silva,Belfort,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10893.0,3600000.0,725000.0
2011-02-27,UFC 127,Penn vs. Fitch,Ultimate Fighting Championship,Penn,Fitch,0,Acer Arena,"Sydney, Australia",18186.0,3500000.0,260000.0
2011-03-19,UFC 128,Shogun vs Jones,Ultimate Fighting Championship,Shogun,Jones,0,Prudential Center,"Newark, New Jersey",12619.0,2140000.0,490000.0
2011-04-30,UFC 129,St-Pierre vs. Shields,Ultimate Fighting Championship,St-Pierre,Shields,0,Rogers Centre,"Toronto, Ontario, Canada",55724.0,12075000.0,800000.0
2011-05-28,UFC 130,Rampage vs. Hamill,Ultimate Fighting Championship,Rampage,Hamill,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12753.0,2580000.0,325000.0
2011-06-11,UFC 131,dos Santos vs. Carwin,Ultimate Fighting Championship,dos Santos,Carwin,0,Rogers Arena,"Vancouver, British Columbia, Canada",14685.0,2800000.0,330000.0
2011-07-02,UFC 132,Cruz vs. Faber 2,Ultimate Fighting Championship,Cruz,Faber,1,MGM Grand Garden Arena,"Las Vegas, Nevada",13109.0,2304500.0,350000.0
2011-08-06,UFC 133,Evans vs. Ortiz,Ultimate Fighting Championship,Evans,Ortiz,0,Wells Fargo Center,"Philadelphia, Pennsylvania",11583.0,1500000.0,310000.0
2011-08-27,UFC 134,Silva vs. Okami 2,Ultimate Fighting Championship,Silva,Okami,1,HSBC Arena,"Rio de Janeiro, Brazil",14000.0,,335000.0
2011-09-24,UFC 135,Jones vs. Rampage,Ultimate Fighting Championship,Jones,Rampage,0,Pepsi Center,"Denver, Colorado",16344.0,2089575.0,520000.0
2011-10-08,UFC 136,Edgar vs. Maynard III,Ultimate Fighting Championship,Edgar,Maynard,1,Toyota Center,"Houston, Texas",16164.0,2230000.0,225000.0
2011-10-29,UFC 137,Penn vs. Diaz,Ultimate Fighting Championship,Penn,Diaz,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10313.0,3900650.0,280000.0
2011-11-05,UFC 138,Leben vs. Muñoz,Ultimate Fighting Championship,Leben,Muñoz,0,LG Arena,"Birmingham, United Kingdom",10823.0,1500000.0,
2011-11-19,UFC 139,Shogun vs. Henderson,Ultimate Fighting Championship,Shogun,Henderson,0,HP Pavilion,"San Jose, California",13832.0,1268000.0,290000.0
2011-12-10,UFC 140,Jones vs. Machida,Ultimate Fighting Championship,Jones,Machida,0,Air Canada Centre,"Toronto, Ontario, Canada",18303.0,3900000.0,480000.0
2011-12-30,UFC 141,Lesnar vs. Overeem,Ultimate Fighting Championship,Lesnar,Overeem,0,MGM Grand Garden Arena,"Las Vegas, Nevada",13793.0,3100000.0,780000.0
2012-01-14,UFC 142,Aldo vs. Mendes,Ultimate Fighting Championship,Aldo,Mendes,0,HSBC Arena,"Rio de Janeiro, Brazil",10605.0,,235000.0
2012-02-04,UFC 143,Diaz vs. Condit,Ultimate Fighting Championship,Diaz,Condit,0,Mandalay Bay Events Center,"Las Vegas, Nevada",9015.0,2400000.0,400000.0
2012-02-26,UFC 144,Edgar vs. Henderson,Ultimate Fighting Championship,Edgar,Henderson,0,Saitama Super Arena,"Saitama, Japan",21000.0,,375000.0
2012-04-21,UFC 145,Jones vs. Evans,Ultimate Fighting Championship,Jones,Evans,0,Philips Arena,"Atlanta, Georgia",15545.0,2200000.0,700000.0
2012-05-26,UFC 146,dos Santos vs. Mir,Ultimate Fighting Championship,dos Santos,Mir,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14674.0,3428775.0,560000.0
2012-06-23,UFC 147,Silva vs. Franklin II,Ultimate Fighting Championship,Silva,Franklin,1,Mineirinho Arena,"Belo Horizonte, Brazil",16643.0,,140000.0
2012-07-07,UFC 148,Silva vs. Sonnen II,Ultimate Fighting Championship,Silva,Sonnen,1,MGM Grand Garden Arena,"Las Vegas, Nevada",15104.0,6901655.0,925000.0
2012-07-21,UFC 149,Faber vs. Barão,Ultimate Fighting Championship,Faber,Barão,0,Scotiabank Saddledome,"Calgary, Alberta, Canada",16089.0,4100000.0,235000.0
2012-08-11,UFC 150,Henderson vs. Edgar II,Ultimate Fighting Championship,Henderson,Edgar,1,Pepsi Center,"Denver, Colorado",13027.0,619955.0,190000.0
