Date,Event,Main_Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
2009-12-05,The Ultimate Fighter,0,Heavyweights Finale,Ultimate Fighting Championship,,,0,Palms Casino Resort,"Las Vegas, Nevada",1791.0,503600.0,
2009-12-12,UFC 107,1,Penn vs. Sanchez,Ultimate Fighting Championship,Penn,Sanchez,0,FedExForum,"Memphis, Tennessee",13896.0,1500000.0,620000.0
2010-01-02,UFC 108,1,Evans vs. Silva,Ultimate Fighting Championship,Evans,Silva,0,MGM Grand Garden Arena,"Las Vegas, Nevada",13529.0,1969670.0,300000.0
2010-01-11,UFC Fight Night,0,Maynard vs. Diaz,Ultimate Fighting Championship,Maynard,Diaz,0,Patriot Center,"Fairfax, Virginia",8078.0,753962.0,
2010-02-06,UFC 109,1,Relentless,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10753.0,2273000.0,275000.0
2010-02-21,UFC 110,1,Nogueira vs. Velasquez,Ultimate Fighting Championship,Nogueira,Velasquez,0,Acer Arena,"Sydney, Australia",17431.0,2500000.0,240000.0
2010-03-21,UFC Live,0,Vera vs. Jones,Ultimate Fighting Championship,Vera,Jones,0,1stBank Center,"Broomfield, Colorado[1]",6443.0,568125.0,
2010-03-27,UFC 111,1,St-Pierre vs. Hardy,Ultimate Fighting Championship,St-Pierre,Hardy,0,Prudential Center,"Newark, New Jersey",17000.0,4000000.0,770000.0
2010-03-31,UFC Fight Night,0,Florian vs. Gomi,Ultimate Fighting Championship,Florian,Gomi,0,Bojangles' Coliseum,"Charlotte, North Carolina",7700.0,590685.0,
2010-04-10,UFC 112,1,Invincible,Ultimate Fighting Championship,,,0,"Concert Arena, Yas Island","Abu Dhabi, United Arab Emirates",11008.0,3500000.0,500000.0
2010-05-08,UFC 113,1,Machida vs. Shogun 2,Ultimate Fighting Championship,Machida,Shogun,1,Bell Centre,"Montreal, Quebec, Canada",17647.0,3270000.0,520000.0
2010-05-29,UFC 114,1,Rampage vs. Evans,Ultimate Fighting Championship,Rampage,Evans,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14996.0,3895000.0,1050000.0
2010-06-12,UFC 115,1,Liddell vs. Franklin,Ultimate Fighting Championship,Liddell,Franklin,0,General Motors Place,"Vancouver, British Columbia, Canada",17669.0,4221787.0,520000.0
2010-06-19,The Ultimate Fighter,0,Team Liddell vs. Team Ortiz Finale,Ultimate Fighting Championship,Team Liddell,Team Ortiz,0,Palms Casino Resort,"Las Vegas, Nevada",1708.0,430000.0,
2010-07-03,UFC 116,1,Lesnar vs. Carwin,Ultimate Fighting Championship,Lesnar,Carwin,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12740.0,2053990.0,1160000.0
2010-08-01,UFC Live,0,Jones vs. Matyushenko,Ultimate Fighting Championship,Jones,Matyushenko,0,Valley View Casino Center,"San Diego, California",8132.0,489685.0,
2010-08-07,UFC 117,1,Silva vs. Sonnen,Ultimate Fighting Championship,Silva,Sonnen,0,Oracle Arena,"Oakland, California",12971.0,1560000.0,600000.0
2010-08-28,UFC 118,1,Edgar vs. Penn 2,Ultimate Fighting Championship,Edgar,Penn,1,TD Garden,"Boston, Massachusetts",14168.0,2800000.0,570000.0
2010-09-15,UFC Fight Night,0,Marquardt vs. Palhares,Ultimate Fighting Championship,Marquardt,Palhares,0,Frank Erwin Center,"Austin, Texas",7724.0,595900.0,
2010-09-25,UFC 119,1,Mir vs. Cro Cop,Ultimate Fighting Championship,Mir,Cro Cop,0,Conseco Fieldhouse,"Indianapolis, Indiana",15811.0,1600000.0,295000.0
2010-10-16,UFC 120,1,Bisping vs. Akiyama,Ultimate Fighting Championship,Bisping,Akiyama,0,O2 Arena,"London, United Kingdom",17133.0,2560000.0,
2010-10-23,UFC 121,1,Lesnar vs. Velasquez,Ultimate Fighting Championship,Lesnar,Velasquez,0,Honda Center,"Anaheim, California",14856.0,2237000.0,1050000.0
2010-11-13,UFC 122,1,Marquardt vs. Okami,Ultimate Fighting Championship,Marquardt,Okami,0,König Pilsener Arena,"Oberhausen, Germany",8421.0,600000.0,
2010-11-20,UFC 123,1,Rampage vs. Machida,Ultimate Fighting Championship,Rampage,Machida,0,The Palace of Auburn Hills,"Auburn Hills, Michigan",16404.0,2100000.0,500000.0
2010-12-04,The Ultimate Fighter,0,Team GSP vs. Team Koscheck Finale,Ultimate Fighting Championship,Team GSP,Team Koscheck,0,Palms Casino Resort,"Las Vegas, Nevada",1903.0,380025.0,
2010-12-11,UFC 124,1,St-Pierre vs. Koscheck 2,Ultimate Fighting Championship,St-Pierre,Koscheck,1,Bell Centre,"Montreal, Quebec, Canada",23152.0,4600000.0,800000.0
2011-01-01,UFC 125,1,Resolution,Ultimate Fighting Championship,,,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12874.0,2174780.0,270000.0
2011-01-22,UFC,0,Fight for the Troops 2,Ultimate Fighting Championship,,,1,Fort Hood,"Killeen, Texas",3200.0,,
