Date,Event,Promotion,Venue,City,Attendance,Gate,Buyrate
2007-02-03,UFC 67: All or Nothing,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10227.0,2767130.0,350000.0
2007-03-03,UFC 68: The Uprising,Ultimate Fighting Championship,Nationwide Arena,"Columbus, Ohio",19049.0,3014000.0,534000.0
2007-04-05,UFC Fight Night: Stevenson vs. Guillard,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",1734.0,,
2007-04-07,UFC 69: Shootout,Ultimate Fighting Championship,Toyota Center,"Houston, Texas",15269.0,2817200.0,400000.0
2007-04-21,UFC 70: Nations Collide,Ultimate Fighting Championship,Manchester Evening News Arena,"Manchester, United Kingdom",15114.0,2628472.0,
2007-05-26,UFC 71: Liddell vs. Jackson,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",14728.0,4304000.0,675000.0
2007-06-12,UFC Fight Night: Stout vs. Fisher,Ultimate Fighting Championship,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida",,,
2007-06-16,UFC 72: Victory,Ultimate Fighting Championship,The Odyssey,"Belfast, Northern Ireland, United Kingdom.",8000.0,,200000.0
2007-06-23,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",,526000.0,
2007-07-07,UFC 73: Stacked,Ultimate Fighting Championship,ARCO Arena,"Sacramento, California",13183.0,1551920.0,425000.0
2007-08-25,UFC 74: Respect,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",11118.0,3307000.0,520000.0
2007-09-08,UFC 75: Champion vs. Champion,Ultimate Fighting Championship,The O2 Arena,"London, United Kingdom",16235.0,,
2007-09-19,UFC Fight Night: Thomas vs. Florian,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",,270000.0,
2007-09-22,UFC 76: Knockout,Ultimate Fighting Championship,Honda Center,"Anaheim, California",13770.0,1985000.0,475000.0
2007-10-20,UFC 77: Hostile Territory,Ultimate Fighting Championship,U.S. Bank Arena,"Cincinnati, Ohio",16054.0,2540000.0,325000.0
2007-11-17,UFC 78: Validation,Ultimate Fighting Championship,Prudential Center,"Newark, New Jersey",14071.0,2100000.0,400000.0
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",,,
2007-12-29,UFC 79: Nemesis,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",11075.0,4994000.0,650000.0
2008-01-19,UFC 80: Rapid Fire,Ultimate Fighting Championship,Metro Radio Arena,"Newcastle, United Kingdom",8412.0,1250000.0,225000.0
2008-01-23,UFC Fight Night: Swick vs. Burkman,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",,,
2008-02-02,UFC 81: Breaking Point,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10583.0,2437890.0,600000.0
2008-03-01,UFC 82: Pride of a Champion,Ultimate Fighting Championship,Nationwide Arena,"Columbus, Ohio",16431.0,2200000.0,325000.0
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Ultimate Fighting Championship,Broomfield Event Center,"Broomfield, Colorado",6742.0,753429.0,
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Ultimate Fighting Championship,Bell Centre,"Montreal, Quebec, Canada",21390.0,5100000.0,530000.0
2008-05-24,UFC 84: Ill Will,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",14773.0,3732000.0,475000.0
2008-06-07,UFC 85: Bedlam,Ultimate Fighting Championship,The O2 Arena,"London, United Kingdom",15327.0,,215000.0
